loan_amount,annual_income,credit_history_length,num_open_credit,debt_to_income_ratio,employment_length,purpose,target
24483,58494,14,9,0.39,10,debt_consolidation,1
49555,23373,11,4,0.8,21,home_improvement,0
18159,32161,15,7,0.22,21,major_purchase,0
45974,117532,13,3,0.97,10,major_purchase,1
41994,112658,18,0,0.51,24,home_improvement,0
15541,143633,6,6,0.31,21,home_improvement,1
36920,120386,3,7,0.17,27,small_business,0
27531,47350,19,2,0.25,28,small_business,0
2585,113008,15,5,0.57,12,small_business,0
4943,114297,23,1,0.4,17,major_purchase,0
24939,45351,5,6,0.85,1,small_business,1
20457,108668,10,7,0.49,28,debt_consolidation,0
2021,134585,7,5,0.32,20,debt_consolidation,1
12653,35305,17,5,0.66,14,small_business,0
44573,95353,7,4,0.74,19,debt_consolidation,0
14417,96797,22,7,0.25,26,major_purchase,0
41757,85953,12,0,0.25,17,debt_consolidation,0
10692,77458,17,9,0.13,14,major_purchase,1
46758,127112,13,3,0.76,18,home_improvement,0
7873,40358,20,3,0.7,22,home_improvement,0
6675,23267,4,2,0.53,23,home_improvement,0
1161,102745,10,2,0.86,11,home_improvement,0
38065,109588,3,3,0.83,12,debt_consolidation,0
27557,58513,9,0,0.63,21,small_business,0
34763,46092,13,1,0.88,10,debt_consolidation,1
33606,31338,18,8,0.29,4,major_purchase,0
12534,20412,15,9,0.2,28,debt_consolidation,0
30127,27543,4,1,0.34,0,debt_consolidation,0
41397,125891,15,4,0.15,23,major_purchase,0
26851,53496,22,8,0.58,2,home_improvement,1
2016,80692,2,8,0.94,21,home_improvement,0
25253,109084,15,7,0.14,18,home_improvement,0
25276,112920,8,0,0.21,22,small_business,0
24247,143555,8,0,0.51,28,major_purchase,0
25300,64425,17,8,0.94,29,major_purchase,0
9529,58756,12,7,0.38,6,debt_consolidation,1
18262,38888,19,9,0.56,11,small_business,1
10268,55735,10,8,0.14,14,home_improvement,1
22271,67295,9,6,0.23,24,small_business,0
13185,137474,5,2,0.99,4,major_purchase,0
22243,134352,6,2,0.97,14,major_purchase,0
40099,103042,20,1,0.1,7,debt_consolidation,0
9571,105999,2,4,0.96,9,debt_consolidation,1
40976,37955,24,2,0.68,25,major_purchase,0
39044,57841,13,5,0.88,15,home_improvement,1
49984,90640,6,1,0.51,7,home_improvement,1
41774,85510,5,2,0.56,0,small_business,0
3568,54911,1,4,0.54,11,major_purchase,0
3027,79031,21,0,0.7,4,major_purchase,0
3695,108726,22,0,0.23,2,home_improvement,0
49190,27357,21,9,0.13,0,home_improvement,1
6258,52479,6,8,0.38,3,major_purchase,0
23002,81476,6,6,0.73,7,debt_consolidation,0
40504,64811,23,0,0.28,2,major_purchase,0
34159,56208,16,7,0.71,9,major_purchase,1
14986,40150,4,2,0.97,1,home_improvement,0
13666,91180,11,7,0.18,10,home_improvement,1
39660,63286,24,4,0.71,24,debt_consolidation,0
4561,132856,23,0,0.5,9,debt_consolidation,1
27854,88450,9,6,0.88,20,small_business,1
39952,41352,23,4,0.26,13,major_purchase,0
23662,75069,3,5,0.72,6,home_improvement,0
9392,131888,19,5,0.85,26,debt_consolidation,1
31535,130448,8,7,0.95,26,small_business,0
14067,34397,5,8,0.71,1,small_business,1
49033,61555,4,1,0.55,8,home_improvement,0
24599,66959,24,8,0.66,15,home_improvement,1
36222,20728,6,9,0.88,12,small_business,1
12837,70517,2,8,0.61,8,debt_consolidation,1
15039,139180,20,9,0.13,19,small_business,0
31818,86234,11,9,0.94,3,major_purchase,0
20115,59954,4,6,0.72,21,major_purchase,0
11965,67280,15,0,0.71,9,home_improvement,0
25538,99459,6,6,0.29,25,debt_consolidation,0
43530,36779,22,9,0.69,25,debt_consolidation,0
6056,83932,17,4,0.45,21,major_purchase,1
33482,92936,24,5,0.69,11,small_business,0
48716,44466,6,9,0.2,16,home_improvement,0
9110,56939,19,6,0.69,13,small_business,0
14773,89896,2,4,1.0,13,small_business,0
28266,55270,15,6,0.14,24,small_business,0
18412,79163,11,8,0.98,1,debt_consolidation,1
34270,102637,8,2,0.47,20,major_purchase,1
7910,71934,19,7,0.88,24,debt_consolidation,0
46453,84895,13,1,0.8,19,major_purchase,0
26446,52307,12,6,0.61,10,home_improvement,1
1206,74098,5,1,0.76,15,home_improvement,0
22518,80921,6,3,0.89,18,small_business,0
23361,25486,22,6,0.46,22,major_purchase,0
24419,28335,4,2,0.39,5,major_purchase,0
49702,106900,19,1,0.7,23,major_purchase,0
42523,146020,20,9,0.83,18,small_business,0
46151,141954,1,6,0.79,4,small_business,0
23403,122795,20,0,0.82,25,home_improvement,1
19141,109112,17,7,0.49,3,debt_consolidation,0
15820,117203,12,2,0.84,14,major_purchase,1
41342,31130,15,1,0.21,28,major_purchase,1
7374,107508,1,2,0.59,3,debt_consolidation,0
2678,125955,14,4,0.11,19,major_purchase,0
34827,138324,6,7,0.39,9,small_business,0
17198,80566,5,9,0.43,23,small_business,0
10914,86703,11,6,0.46,21,major_purchase,1
28890,47192,4,6,0.73,2,small_business,0
23299,21062,13,6,0.45,25,small_business,1
44585,104076,11,7,0.5,4,major_purchase,0
44689,109780,3,0,0.31,5,home_improvement,0
43557,41545,1,3,0.44,20,debt_consolidation,0
45020,41689,6,5,0.3,21,small_business,0
3693,31174,18,8,0.17,7,home_improvement,0
30467,108461,24,1,0.64,6,small_business,0
30723,146174,10,0,0.7,20,small_business,0
47699,123033,5,9,0.66,9,debt_consolidation,0
4627,29348,23,1,0.52,5,small_business,1
26939,43714,10,6,0.44,13,debt_consolidation,0
49925,58102,12,2,0.88,3,debt_consolidation,1
43941,94460,2,9,0.57,27,debt_consolidation,1
22834,122634,13,1,0.53,24,home_improvement,1
19047,109930,8,6,0.12,12,major_purchase,0
27105,26801,2,1,0.41,19,home_improvement,1
11230,123150,20,2,0.44,16,major_purchase,0
16707,92267,1,6,0.46,22,major_purchase,0
22976,68136,5,3,0.62,6,debt_consolidation,0
45262,43625,9,0,0.58,3,small_business,1
24776,102873,17,4,0.65,28,debt_consolidation,0
31080,120843,9,8,0.79,13,small_business,1
2306,92592,11,7,0.83,2,major_purchase,0
7776,97052,15,8,0.75,23,debt_consolidation,1
28251,64261,24,9,0.96,4,small_business,1
10474,21542,6,8,0.12,15,home_improvement,0
41294,41677,23,6,0.28,25,small_business,1
22959,66732,3,3,0.11,22,debt_consolidation,0
6530,70343,17,4,0.68,19,home_improvement,0
30320,59081,5,0,0.91,3,small_business,0
4748,82856,12,0,0.32,23,small_business,0
32968,113105,18,2,0.93,29,small_business,0
33562,108858,14,7,0.15,23,small_business,0
14545,39065,21,1,0.94,1,small_business,0
1663,144097,24,3,0.42,29,home_improvement,1
35766,103460,11,1,0.19,17,major_purchase,1
8994,108092,9,4,0.54,18,home_improvement,1
29021,146116,2,8,0.33,27,home_improvement,1
31303,74693,12,0,0.36,27,home_improvement,1
4304,46962,3,4,0.38,18,major_purchase,0
47576,48295,3,8,0.82,16,debt_consolidation,0
40353,33807,1,0,0.59,13,major_purchase,1
18675,62348,8,8,0.38,18,home_improvement,0
45417,46432,22,7,0.65,21,small_business,0
24938,103285,8,3,0.74,23,small_business,0
24664,126995,11,9,0.35,12,home_improvement,0
2636,111792,9,4,0.47,11,small_business,0
21080,77854,5,4,0.21,29,home_improvement,0
28728,60262,14,5,0.26,25,small_business,0
27736,57080,3,6,0.71,5,major_purchase,0
29673,21324,21,7,0.26,20,debt_consolidation,0
38505,111267,5,7,0.57,3,debt_consolidation,0
48323,144707,5,1,0.74,18,major_purchase,1
47645,55909,19,8,0.2,15,major_purchase,0
1854,109339,14,6,0.61,12,home_improvement,0
25548,39870,4,3,0.33,3,home_improvement,1
39623,54578,13,3,0.97,29,home_improvement,0
8392,92124,10,7,0.54,22,small_business,0
47717,137611,18,3,0.83,16,home_improvement,0
22556,123605,8,5,0.6,22,major_purchase,1
39559,46790,8,4,0.14,0,debt_consolidation,0
27309,138874,7,2,0.67,17,small_business,0
22919,45289,8,9,0.96,19,home_improvement,1
5931,75129,14,1,0.64,16,small_business,0
33970,113714,19,8,0.84,26,small_business,0
45215,114246,6,9,0.9,27,home_improvement,0
13688,35485,1,8,0.31,26,small_business,0
26342,64482,23,0,0.29,14,debt_consolidation,0
38157,106188,15,9,0.65,10,major_purchase,0
3327,24748,1,2,0.47,24,major_purchase,1
41772,106769,17,7,0.86,27,debt_consolidation,0
41545,29435,1,5,0.91,21,small_business,0
1197,23709,15,4,0.42,12,home_improvement,0
24509,143961,23,4,0.31,0,small_business,0
35698,50355,2,5,0.8,16,debt_consolidation,0
45542,75771,14,6,0.35,5,small_business,1
16087,77799,21,0,0.84,3,major_purchase,0
23671,33116,8,8,0.48,19,small_business,1
26184,45470,8,2,0.7,15,debt_consolidation,1
28848,62344,19,3,0.19,14,major_purchase,0
43107,62918,7,9,0.66,26,small_business,1
21666,72224,19,0,0.51,14,small_business,0
45357,59298,6,9,0.63,5,major_purchase,0
16708,128492,6,2,0.25,14,home_improvement,0
27370,100219,3,1,0.76,13,major_purchase,0
3811,81629,7,1,0.88,27,home_improvement,0
48011,86040,19,0,0.3,10,debt_consolidation,0
7546,119518,8,7,0.19,6,debt_consolidation,0
35754,119835,10,2,0.12,8,major_purchase,0
31206,48016,20,2,0.68,25,major_purchase,0
42106,43960,15,5,0.65,15,debt_consolidation,1
12411,53591,15,7,0.59,4,home_improvement,1
3911,102848,1,8,0.31,24,debt_consolidation,0
2734,123333,20,8,0.45,19,major_purchase,0
19227,131732,7,3,0.64,28,debt_consolidation,1
9680,134821,4,4,0.55,9,major_purchase,1
20360,87641,6,1,0.99,17,major_purchase,1
19343,56395,1,8,0.22,2,debt_consolidation,0
6759,131276,5,7,0.73,12,home_improvement,0
24078,149695,23,2,0.46,10,small_business,0
36153,42700,1,8,0.49,16,debt_consolidation,0
12111,54620,4,2,0.75,29,small_business,1
38504,123214,22,8,0.72,29,debt_consolidation,1
2802,148148,2,1,0.99,21,small_business,0
9155,40559,10,9,0.22,12,home_improvement,1
9120,113045,5,8,0.19,5,home_improvement,0
40384,113396,10,7,0.75,16,debt_consolidation,0
48025,81642,1,8,0.62,26,major_purchase,0
48254,96539,22,4,0.35,12,small_business,1
22918,41732,6,1,0.17,18,major_purchase,0
21445,148675,13,7,0.18,20,major_purchase,1
31306,111362,15,5,0.9,18,major_purchase,1
17646,50354,4,7,0.27,9,home_improvement,0
47843,33843,13,4,0.39,2,debt_consolidation,0
32065,130008,24,9,0.3,13,debt_consolidation,1
26199,134065,20,1,0.42,25,home_improvement,0
42976,91726,24,5,0.16,18,home_improvement,1
17371,37640,15,4,0.57,4,debt_consolidation,1
12835,72528,8,4,0.16,28,major_purchase,0
46936,58413,5,0,0.82,4,small_business,0
3049,148142,15,1,0.31,19,small_business,1
32616,72638,4,7,0.59,16,small_business,0
39191,72736,12,2,0.89,20,major_purchase,0
48357,127892,13,9,0.69,9,debt_consolidation,0
21932,130133,2,2,0.58,4,home_improvement,0
30855,126357,19,7,0.39,3,debt_consolidation,1
8158,88866,19,7,0.4,5,major_purchase,1
44016,39087,4,1,0.7,25,home_improvement,0
8400,61430,4,7,0.99,3,major_purchase,0
43642,44504,11,0,0.7,29,small_business,0
16151,27114,5,5,0.6,6,small_business,1
2154,98859,20,7,0.76,6,major_purchase,0
5499,119657,11,2,0.52,17,home_improvement,0
7295,30975,10,7,0.15,2,home_improvement,0
13183,31023,8,0,0.61,0,debt_consolidation,0
30299,41447,6,8,0.96,23,small_business,1
13874,110469,6,8,0.26,24,debt_consolidation,0
33711,145899,8,4,0.72,3,debt_consolidation,0
6539,43959,23,9,0.28,5,major_purchase,0
43405,86203,15,3,0.58,8,major_purchase,1
49354,139156,14,5,0.19,21,debt_consolidation,0
3557,49703,11,6,0.51,13,small_business,0
39360,29337,12,4,0.78,27,major_purchase,0
17482,66427,13,9,0.41,11,debt_consolidation,1
3200,141507,8,8,0.7,27,debt_consolidation,0
47940,81529,18,2,0.82,24,debt_consolidation,0
3961,122023,1,6,0.93,19,debt_consolidation,0
47975,104665,15,9,0.31,23,debt_consolidation,1
22357,125787,8,9,0.46,24,debt_consolidation,0
12969,51921,11,4,0.24,3,major_purchase,1
3869,53307,12,6,0.99,20,small_business,0
47760,47355,12,1,0.93,29,debt_consolidation,0
29643,123268,4,3,0.59,23,home_improvement,0
25736,147016,16,1,0.86,11,major_purchase,1
39467,24835,4,6,0.57,9,major_purchase,0
24328,40159,5,1,0.66,29,debt_consolidation,1
26876,124346,24,0,0.18,21,major_purchase,1
22295,67605,5,8,0.78,27,debt_consolidation,0
4987,141790,8,0,0.21,6,small_business,1
23399,125616,10,7,0.84,2,small_business,1
47214,58088,17,1,0.8,22,major_purchase,0
34986,98752,9,7,0.74,27,major_purchase,0
21880,75284,22,2,0.13,13,home_improvement,1
5735,77043,19,5,0.37,23,major_purchase,0
45064,145388,14,2,0.34,9,home_improvement,1
5555,55547,8,6,0.42,15,small_business,1
42914,117007,9,9,0.18,15,small_business,0
41818,102844,22,8,0.94,21,debt_consolidation,0
46525,47532,11,1,0.6,9,small_business,0
20830,54349,23,4,0.37,24,home_improvement,0
18429,142402,1,5,0.46,12,major_purchase,0
7893,138012,14,3,0.5,5,debt_consolidation,0
15373,65445,5,3,0.64,11,home_improvement,0
48333,25713,21,3,0.56,8,major_purchase,1
4436,76178,14,1,0.93,12,debt_consolidation,1
9754,69407,4,3,0.55,3,small_business,0
11677,90340,22,0,0.99,23,home_improvement,0
6895,70990,23,5,0.87,10,major_purchase,0
20738,95672,1,0,0.29,19,debt_consolidation,0
31746,149473,22,9,0.94,17,debt_consolidation,1
49404,85545,23,5,0.2,25,small_business,1
33352,104791,19,0,0.84,10,major_purchase,1
40790,78141,8,5,0.44,24,small_business,1
42919,43793,15,9,0.89,20,small_business,0
6600,76570,21,7,0.88,3,major_purchase,1
30124,115084,15,1,0.83,17,major_purchase,0
28643,57892,9,1,0.81,0,major_purchase,1
41764,21015,21,3,0.37,26,home_improvement,0
10007,144704,9,2,0.17,6,major_purchase,1
46714,81813,10,3,0.46,5,debt_consolidation,1
38410,47712,20,6,0.26,14,small_business,0
45080,120497,21,0,0.73,17,home_improvement,0
41447,28415,9,5,0.41,23,major_purchase,1
9208,131854,3,2,0.98,10,home_improvement,0
19589,132816,20,9,0.68,19,major_purchase,0
44484,148778,11,6,0.84,23,home_improvement,0
18453,82292,6,9,0.22,14,small_business,0
37212,43833,2,1,0.88,15,small_business,1
44525,24158,7,1,0.93,6,debt_consolidation,0
48202,82680,18,3,0.54,20,debt_consolidation,0
33635,40309,2,0,0.65,9,major_purchase,0
34828,26970,17,2,0.79,25,small_business,0
19711,92474,11,8,0.26,11,home_improvement,0
4420,106704,12,6,0.55,23,home_improvement,0
32216,66540,19,6,0.46,13,home_improvement,0
1301,40384,22,3,0.23,24,debt_consolidation,0
46236,38017,24,1,0.43,4,home_improvement,1
1699,95880,7,3,0.16,25,debt_consolidation,0
1190,125570,20,5,0.12,20,debt_consolidation,0
11492,28702,6,2,0.22,17,major_purchase,0
36743,20384,21,0,0.97,4,home_improvement,0
7102,20404,24,7,0.59,2,home_improvement,0
20778,60943,1,4,0.97,22,small_business,0
27641,67926,17,4,0.49,25,major_purchase,1
35584,49189,11,3,0.38,4,small_business,0
33745,32763,22,5,0.56,23,major_purchase,0
24093,38384,18,2,0.5,16,home_improvement,1
1569,80100,21,8,0.2,18,debt_consolidation,0
39210,118142,17,4,0.68,18,debt_consolidation,0
35663,29860,7,2,0.29,24,debt_consolidation,0
37631,124293,17,0,0.66,20,debt_consolidation,0
46681,100642,20,9,0.69,11,debt_consolidation,1
8455,70612,9,5,0.24,24,small_business,1
5014,43574,17,1,0.16,28,major_purchase,1
12093,43524,20,2,0.8,8,home_improvement,0
19070,89172,22,0,0.51,0,small_business,0
36777,30916,22,8,0.15,17,major_purchase,0
17538,24809,8,7,1.0,20,debt_consolidation,0
11729,52201,17,1,0.15,3,major_purchase,0
35177,73330,7,7,0.73,9,major_purchase,1
46017,33456,1,8,0.99,24,debt_consolidation,0
1784,133748,13,0,0.32,6,debt_consolidation,0
28751,76397,23,4,0.23,21,debt_consolidation,0
41864,141288,19,7,0.21,22,home_improvement,0
41328,58765,24,1,0.37,0,debt_consolidation,0
13533,54816,19,3,0.19,16,home_improvement,1
41111,65106,17,6,0.72,23,debt_consolidation,0
40974,73932,13,2,0.16,28,home_improvement,1
6801,37100,16,4,0.56,28,major_purchase,0
20190,77091,8,7,1.0,1,small_business,1
39754,41949,19,9,0.83,27,major_purchase,1
30592,90080,18,2,0.65,25,major_purchase,0
11647,57744,1,3,0.38,10,debt_consolidation,0
9716,65543,14,8,0.66,8,home_improvement,1
24355,128319,19,6,0.57,6,small_business,0
23009,112193,15,0,0.48,21,debt_consolidation,1
25376,56187,18,3,0.22,16,debt_consolidation,0
46091,132734,2,3,0.9,16,debt_consolidation,0
5780,27239,22,8,0.5,1,major_purchase,1
3368,144454,17,5,0.28,5,home_improvement,1
13039,34489,18,8,0.43,13,home_improvement,0
7655,134937,6,5,0.47,5,small_business,1
41941,78017,19,5,0.84,1,home_improvement,0
5495,81877,4,4,0.76,0,home_improvement,0
11893,63125,1,4,0.79,9,debt_consolidation,0
26547,69922,8,1,0.11,20,debt_consolidation,0
23386,114074,23,7,0.47,4,major_purchase,1
14403,52049,7,7,0.53,1,debt_consolidation,0
33097,57131,3,0,0.12,21,debt_consolidation,0
14121,62944,10,7,0.33,15,debt_consolidation,0
11966,135765,10,4,0.78,24,debt_consolidation,0
34621,93963,19,1,0.22,1,major_purchase,0
29312,126884,14,1,0.58,9,debt_consolidation,1
23677,145917,2,5,0.29,1,small_business,0
32289,44285,1,8,0.11,15,small_business,1
32024,57626,23,0,0.32,15,small_business,1
43675,62808,23,5,0.98,18,small_business,0
5777,108464,18,8,0.82,28,debt_consolidation,1
30749,73871,7,7,0.96,6,small_business,1
16338,39198,8,5,0.54,21,debt_consolidation,0
3491,39758,1,2,0.2,11,major_purchase,0
28236,35254,23,7,0.59,23,small_business,0
49096,64238,3,8,0.51,14,home_improvement,0
15599,21252,24,0,0.86,7,small_business,1
20508,59764,23,8,0.19,5,small_business,0
4051,97709,8,5,0.54,27,debt_consolidation,1
49747,57441,22,5,0.24,26,small_business,0
22606,112234,15,3,0.39,9,home_improvement,0
22699,73682,5,0,0.76,2,debt_consolidation,1
1876,79494,3,9,0.53,18,debt_consolidation,0
33093,101317,19,7,0.44,16,major_purchase,0
5142,85215,1,1,0.46,6,major_purchase,0
16202,98587,15,0,0.51,20,small_business,0
40734,125185,8,1,0.81,19,major_purchase,0
8079,26949,2,0,0.9,25,major_purchase,0
8987,127825,3,0,0.96,3,major_purchase,0
40567,75393,24,8,0.81,13,debt_consolidation,1
29940,93553,14,0,0.38,19,debt_consolidation,0
38233,26941,24,3,0.72,21,debt_consolidation,0
18019,45934,14,9,0.49,14,major_purchase,0
47185,43386,11,5,0.33,23,debt_consolidation,1
19077,145362,16,6,0.86,7,major_purchase,0
27258,81886,4,1,0.13,20,debt_consolidation,0
22136,95745,20,5,0.91,14,debt_consolidation,0
9311,103251,5,6,0.52,21,home_improvement,0
18214,114456,22,9,0.67,19,small_business,1
15098,73413,21,9,0.69,27,major_purchase,1
29251,76800,14,1,0.91,13,home_improvement,0
38945,117239,23,1,0.67,26,debt_consolidation,0
48030,62318,16,9,0.65,28,major_purchase,0
26945,139803,18,6,0.16,8,debt_consolidation,1
26316,90173,7,0,0.57,7,small_business,1
33217,90390,10,7,0.24,25,home_improvement,0
9308,72329,7,2,0.76,27,small_business,1
6949,142418,1,5,0.56,25,home_improvement,1
2150,63088,23,8,0.71,16,debt_consolidation,0
24944,136868,21,5,0.14,1,small_business,0
35699,123196,19,8,0.18,24,small_business,0
10204,59811,16,6,0.74,23,debt_consolidation,1
2081,134825,19,8,0.16,29,small_business,1
30305,75479,4,1,0.16,2,major_purchase,1
17896,105392,18,7,0.11,7,home_improvement,1
47175,107369,2,7,0.96,11,home_improvement,0
8805,137520,1,1,0.76,0,home_improvement,1
6237,39963,15,3,0.42,9,major_purchase,1
21056,75123,5,6,0.37,19,home_improvement,0
46543,145911,20,3,0.41,2,debt_consolidation,0
46952,122468,11,3,0.8,5,small_business,1
4343,112705,10,5,0.7,6,major_purchase,0
14500,93477,2,9,0.27,19,home_improvement,1
30375,34388,3,5,0.26,22,debt_consolidation,0
10662,25569,23,9,0.19,24,small_business,0
17964,89836,23,2,0.69,26,small_business,1
48893,124573,12,8,0.79,17,major_purchase,0
9130,56586,20,9,0.34,10,major_purchase,0
20531,147018,5,1,0.12,18,major_purchase,0
2679,32015,5,5,0.17,4,debt_consolidation,1
4506,65002,6,6,0.97,18,debt_consolidation,0
14284,136594,9,8,0.37,10,major_purchase,1
8253,26254,2,2,0.79,23,home_improvement,0
20128,37144,21,9,0.66,11,small_business,1
28932,44214,12,2,0.44,9,small_business,1
10435,125654,3,6,0.29,7,debt_consolidation,0
45078,100719,20,3,0.21,23,small_business,0
14296,91774,22,7,0.65,27,home_improvement,0
31445,26090,12,6,0.8,27,small_business,0
14245,31637,24,4,0.68,8,debt_consolidation,0
30124,42415,17,6,0.58,3,debt_consolidation,0
30899,44071,10,2,0.14,4,home_improvement,0
44919,78243,24,1,0.97,20,home_improvement,0
44225,130951,14,5,0.82,7,small_business,0
36247,145827,23,1,0.36,22,small_business,0
30222,128215,17,2,0.98,8,debt_consolidation,1
27211,61240,18,5,0.64,14,home_improvement,0
38220,146146,19,4,0.62,14,home_improvement,0
27646,103807,17,7,0.77,15,home_improvement,0
